"","part_id","contact","part_age","cutoff_contact","cutoff_contact_100"
"517","uk_G1_700789",2,"18-29",2,2
"518","uk_G1_700790",3,"30-39",3,3
"519","uk_G1_700791",1,"60-69",1,1
"520","uk_G1_700792",6,"30-39",6,6
"521","uk_G1_700793",7,"40-49",7,7
"522","uk_G1_700794",1,"50-59",1,1
"523","uk_G1_700795",9,"18-29",9,9
"524","uk_G1_700796",23,"50-59",20,23
"525","uk_G1_700797",6,"60-69",6,6
"526","uk_G1_700798",1,"50-59",1,1
"527","uk_G1_700799",12,"50-59",12,12
"528","uk_G1_700800",3,"60-69",3,3
"529","uk_G1_700801",1,"60-69",1,1
"530","uk_G1_700802",2,"60-69",2,2
"531","uk_G1_700803",11,"18-29",11,11
"532","uk_G1_700804",4,"60-69",4,4
"533","uk_G1_700806",3,"18-29",3,3
"534","uk_G1_700807",1,"18-29",1,1
"535","uk_G1_700808",5,"60-69",5,5
"536","uk_G1_700810",1,"30-39",1,1
"537","uk_G1_700811",1,"50-59",1,1
"538","uk_G1_700812",5,"18-29",5,5
"539","uk_G1_700813",4,"40-49",4,4
"540","uk_G1_700814",1,"40-49",1,1
"541","uk_G1_700815",1,"50-59",1,1
"542","uk_G1_700816",2,"40-49",2,2
"543","uk_G1_700817",8,"50-59",8,8
"544","uk_G1_700818",1,"50-59",1,1
"545","uk_G1_700819",1,"60-69",1,1
"546","uk_G1_700820",5,"60-69",5,5
"547","uk_G1_700821",5,"30-39",5,5
"548","uk_G1_700823",9,"40-49",9,9
"549","uk_G1_700824",1,"18-29",1,1
"550","uk_G1_700825",1,"60-69",1,1
"551","uk_G1_700826",3,"30-39",3,3
"552","uk_G1_700827",1,"60-69",1,1
"553","uk_G1_700828",1,"50-59",1,1
"554","uk_G1_700829",2,"50-59",2,2
"555","uk_G1_700830",2,"30-39",2,2
"556","uk_G1_700831",2,"30-39",2,2
"557","uk_G1_700832",2,"40-49",2,2
"558","uk_G1_700833",3,"40-49",3,3
"559","uk_G1_700834",1,"18-29",1,1
"560","uk_G1_700835",53,"70-120",20,53
"561","uk_G1_700836",1,"60-69",1,1
"562","uk_G1_700837",3,"40-49",3,3
"563","uk_G1_700838",1,"50-59",1,1
"564","uk_G1_700841",11,"60-69",11,11
"565","uk_G1_700842",3,"30-39",3,3
"566","uk_G1_700843",4,"30-39",4,4
"567","uk_G1_700844",3,"40-49",3,3
"568","uk_G1_700845",4,"50-59",4,4
"569","uk_G1_700846",1,"50-59",1,1
"570","uk_G1_700848",6,"40-49",6,6
"571","uk_G1_700849",1,"50-59",1,1
"572","uk_G1_700850",3,"30-39",3,3
"573","uk_G1_700851",5,"50-59",5,5
"574","uk_G1_700852",3,"60-69",3,3
"575","uk_G1_700854",4,"40-49",4,4
"576","uk_G1_700855",9,"40-49",9,9
"577","uk_G1_700856",6,"60-69",6,6
"578","uk_G1_700857",1,"50-59",1,1
"579","uk_G1_700858",1,"30-39",1,1
"580","uk_G1_700859",2,"40-49",2,2
"581","uk_G1_700862",5,"40-49",5,5
"582","uk_G1_700863",5,"40-49",5,5
"583","uk_G1_700864",7,"60-69",7,7
"584","uk_G1_700865",6,"50-59",6,6
"585","uk_G1_700866",1,"70-120",1,1
"586","uk_G1_700867",1,"40-49",1,1
"587","uk_G1_700868",6,"50-59",6,6
"588","uk_G1_700869",4,"30-39",4,4
"589","uk_G1_700870",6,"50-59",6,6
"590","uk_G1_700871",2,"60-69",2,2
